#Fri Jun 13 17:01:15 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = crate, slot, mpd, adc_ch, CM min, CM max
           2          13           0           0         291         919
           2          13           0           2         355         755
           2          13           0           4         337         621
           2          13           0           6         513         627
           2          13           0           8         525         681
           2          13           0           1         457         693
           2          13           0           3         330         717
           2          13           0           5         523         738
           2          13           0           7         327         669
           2          13           0           9         302         663
           2          13           1           0         517         752
           2          13           1           2         512         743
           2          13           1           4         468         673
           2          13           1           6         521         725
           2          13           1           8         376         687
           2          13           1           1         455         586
           2          13           1           3         547         643
           2          13           1           5         544         658
           2          13           1           7         437         734
           2          13           1           9         325         895
           2          13           2           0         412         754
           2          13           2           2         458         794
           2          13           2           4         469         728
           2          13           2           6         503         808
           2          13           2           8         480         693
           2          13           2           1         558         720
           2          13           2           3         554         663
           2          13           2           5         544         831
           2          13           2           7         403        1043
           2          13           2           9         403         847
           2          13           3           0         555         842
           2          13           3           2         564         944
           2          13           3           4         514         806
           2          13           3           6         600         722
           2          13           3           8         492         634
           2          13           3           1         618         762
           2          13           3           3         573         700
           2          13           3           5         569         744
           2          13           3           7         431         799
           2          13           3           9         507         772
