#Fri Jun 13 17:01:15 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               0               0
               0           20.49           10.01
               1           20.49           10.01
               2           20.49           10.01
               3           20.49           10.01
               4           20.49           10.01
               5           20.49           10.01
               6           20.49           10.01
               7           8.756           14.65
               8          -66.53           24.59
               9          -22.55           12.35
              10          -8.785            16.5
              11           23.83           16.03
              12          -64.38           20.96
              13           -4.82           9.397
              14           10.65           14.72
              15           78.78           16.27
              16          -2.519           28.57
              17          -31.57           17.36
              18           12.44           30.63
              19           13.31           10.69
              20          -23.41           23.83
              21          -19.82            13.5
              22          -11.82           12.74
              23           31.07           11.96
              24          -52.88            22.3
              25           -4.32           12.07
              26           31.08           10.48
              27           39.17           14.82
              28          -49.28           18.99
              29          -5.888            13.2
              30           3.913           11.67
              31            61.5           16.99
              32          -31.55           27.74
              33          -49.27           16.77
              34          0.0542           14.88
              35          -10.98           15.29
              36          -42.34           24.31
              37           6.257           12.54
              38           -9.84           15.38
              39           18.63            14.7
              40          -56.03           19.95
              41          -24.75           11.68
              42          -7.653            16.2
              43           23.19           16.92
              44          -41.33           17.83
              45          -6.842           10.21
              46           7.324           13.97
              47           77.47           18.39
              48          -7.472           26.99
              49          -31.09           16.39
              50          -2.847              22
              51           15.53           11.05
              52          -53.43            25.3
              53          -24.97           13.13
              54          -8.366           11.26
              55           27.32           13.54
              56          -75.58           20.76
              57          -30.51           11.71
              58           4.672           11.15
              59           40.44           16.03
              60          -22.73           17.77
              61          -1.531           15.52
              62           9.787           12.47
              63           70.29           20.15
              64          -28.15           29.76
              65          -26.54           19.69
              66          0.0004           20.31
              67           37.37           33.42
              68          -112.1           109.9
              69          -29.62           11.01
              70           9.073           17.83
              71           18.75           14.32
              72          -55.04            31.4
              73            1.97           13.97
              74           11.76           15.28
              75           44.87           15.84
              76          -35.82           23.06
              77           9.742           9.604
              78           22.59           14.34
              79           84.84           17.27
              80          -26.91           32.66
              81           -33.7           17.07
              82           6.288           17.66
              83           11.67           35.03
              84          -197.5            76.9
              85           -1.94           11.48
              86          -1.883            12.8
              87           9.752           11.75
              88          -42.34           31.23
              89          -19.05            14.9
              90           14.09           9.376
              91           41.43           15.05
              92          -43.35           19.66
              93           23.87           18.14
              94           29.04           10.59
              95           100.2            17.5
              96          -41.45           28.17
              97          -31.48           15.67
              98          -3.944           17.74
              99           27.74           15.66
             100           -40.7              25
             101          -2.801           11.74
             102           14.24           14.84
             103           36.34           14.92
             104           -71.3           21.27
             105          -10.29           11.58
             106           9.818           14.84
             107           48.65           16.86
             108          -5.235           18.99
             109           15.35           9.459
             110           11.63           16.57
             111           88.03           18.64
             112          -29.66           30.43
             113          -46.78            15.4
             114          -18.59           14.48
             115          0.2177           10.88
             116          -45.04           24.73
             117          -16.45           12.67
             118           19.75           9.548
             119           39.67           13.42
             120           -54.2           20.48
             121          -29.26           12.12
             122           10.94           10.32
             123            55.9            16.3
             124          -31.97           16.89
             125          0.8449            22.9
             126           32.51           12.03
             127           111.9           23.86
APV                2              13               0               2
               0           20.49           10.01
               1           20.49           10.01
               2           20.49           10.01
               3           20.49           10.01
               4           20.49           10.01
               5           20.49           10.01
               6           20.49           10.01
               7           14.94           17.43
               8          -44.44           15.69
               9           -17.2           8.442
              10          -1.253           16.23
              11           37.68           18.77
              12          -36.84           13.22
              13        -0.09073           8.612
              14            11.5           15.22
              15           67.16           18.88
              16           -28.9           20.75
              17           -15.3           12.05
              18          -8.426           28.82
              19          -16.17           10.47
              20          -32.08           18.48
              21          -3.623           10.77
              22           2.827           12.05
              23           35.12           12.65
              24          -24.15           15.29
              25          -19.61           9.718
              26           3.818           9.356
              27           31.72           15.55
              28          -28.09            12.7
              29          -18.44           12.09
              30          -2.462           9.764
              31           38.67           17.14
              32          -18.06            20.7
              33          -25.96           11.83
              34           -11.9           13.37
              35           7.548           17.51
              36          -42.52           16.92
              37          -11.69           10.23
              38          -2.073           15.23
              39           36.52           17.34
              40          -25.43           14.41
              41          -8.225           8.486
              42           2.054           16.67
              43           55.35           18.94
              44          -41.89           13.43
              45          -16.24           8.751
              46           6.503           14.46
              47            55.4           18.59
              48          -31.21           20.44
              49          -23.64           11.22
              50          -22.04           20.48
              51            18.2           11.11
              52          -54.42           17.05
              53           7.985           10.13
              54          -11.84           10.52
              55           29.03           13.32
              56          -36.85           13.86
              57          -30.03           9.899
              58           14.22           9.628
              59           38.66           16.05
              60          -26.66           11.25
              61          -13.67           14.12
              62           -3.21           10.31
              63           59.49           16.76
              64          -30.74           21.38
              65          -25.24           13.07
              66         -0.2275           18.92
              67           24.76           17.69
              68          -23.09           18.65
              69          -1.527           10.84
              70          -9.785           15.79
              71           27.31           16.46
              72          -36.16           15.86
              73           3.256           9.187
              74            13.7           14.59
              75           33.63           17.48
              76           -35.4           14.55
              77          -4.235           8.205
              78            4.55           14.65
              79           54.53           18.34
              80          -30.83           22.17
              81          -14.67           12.99
              82          -16.85           17.09
              83           34.09           10.15
              84          -38.71           19.38
              85          -24.61           11.33
              86          -8.605           9.691
              87           40.31           12.67
              88          -40.98           15.44
              89          -6.936           11.71
              90          -2.158           8.652
              91           45.14           15.28
              92          -26.97           13.17
              93          -12.58           16.91
              94           41.72           9.334
              95           62.59           17.15
              96          -29.83           20.51
              97          -3.233           11.81
              98          -8.093           16.49
              99           25.03           17.81
             100          -33.59            17.4
             101           -9.88           10.44
             102           9.442           14.68
             103            37.8           16.95
             104          -31.52           14.94
             105          -17.14           8.782
             106           6.241           14.53
             107           48.53           18.15
             108          -28.58           12.98
             109         -0.2558           8.368
             110           10.68           17.28
             111           87.67           18.68
             112          -43.43           20.58
             113          -18.45           11.64
             114          -2.154           14.21
             115           24.36           10.96
             116          -30.64           17.69
             117          -14.23           10.45
             118           18.64           9.045
             119           32.95           13.32
             120          -33.32           13.95
             121           -10.5           11.27
             122           23.72           8.986
             123           57.64           16.23
             124           -3.78           11.98
             125          -6.554           21.38
             126           17.42           10.18
             127           110.2           17.92
APV                2              13               0               4
               0           20.49           10.01
               1           20.49           10.01
               2           20.49           10.01
               3           20.49           10.01
               4           20.49           10.01
               5           20.49           10.01
               6           20.49           10.01
               7           33.44           10.13
               8           -70.1           10.83
               9          -21.87           7.132
              10           6.142           10.07
              11           60.33           10.64
              12          -63.09           9.539
              13           5.102           6.888
              14           27.32           9.387
              15           66.01           11.02
              16          -67.77           13.04
              17          -41.34           8.163
              18          -25.56           20.51
              19           17.48           8.982
              20          -73.59           11.26
              21          -42.19           7.302
              22           7.036           9.965
              23           30.87           9.031
              24          -77.13            10.1
              25          -21.23           7.222
              26           21.52           8.176
              27           52.41           10.08
              28          -37.32           8.488
              29          -19.41           9.003
              30           38.28           8.165
              31           75.67           11.04
              32          -70.05           13.26
              33          -26.21           8.221
              34            28.6           9.368
              35           19.03           10.23
              36           -75.8           11.25
              37          -6.831           7.358
              38            7.19           9.586
              39           32.94           10.17
              40          -62.63           9.793
              41           -3.22           6.661
              42            20.4           10.08
              43           55.35           10.78
              44          -44.15           8.718
              45          -1.884           7.298
              46           41.35           8.816
              47           52.35           11.54
              48          -71.42           13.92
              49          -31.72           7.898
              50          -1.793           15.36
              51           27.21           8.824
              52          -50.93           11.11
              53          -19.81               7
              54           22.69           8.958
              55           43.53           9.454
              56          -43.81           9.398
              57           21.21           7.668
              58           23.47           8.177
              59           61.62           10.58
              60          -46.75           7.837
              61           3.417            10.7
              62           21.02           8.352
              63           92.93           12.34
              64          -68.44           12.51
              65          -19.68           8.315
              66          -11.81            13.3
              67           41.86           10.61
              68          -85.71           11.69
              69          -24.14           7.301
              70           16.49           10.46
              71           58.97           9.986
              72          -57.89           10.46
              73          -15.11           6.663
              74           32.66           9.334
              75           55.72           10.35
              76          -52.45           8.697
              77          -16.45           6.814
              78           25.58           8.942
              79           85.78            11.4
              80          -63.58           13.88
              81          -32.83           8.384
              82           15.24           12.42
              83           34.03           8.076
              84          -52.92           11.83
              85          -28.96           7.432
              86           17.97           7.998
              87           65.73           8.971
