#Tue Jan 27 15:29:28 2026
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               0               0
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           28.76           21.17
               8          -6.983           24.66
               9          -35.84           10.43
              10          -8.754            22.7
              11           40.02            21.3
              12          -29.03           18.87
              13          -31.85           9.639
              14            15.1           19.21
              15           36.15           21.19
              16          -20.43           32.56
              17          -39.51           16.28
              18          -37.17           43.54
              19           9.179            14.3
              20          -7.253           27.91
              21          -40.32           12.91
              22          -15.94           16.54
              23           30.95           15.83
              24           -24.6           22.99
              25          -32.64           10.67
              26           4.568           12.83
              27           48.23           19.08
              28          -18.72           18.83
              29          -11.28           15.44
              30           -8.05           13.61
              31           55.58           21.62
              32          -37.02           32.12
              33          -43.54           14.41
              34          -14.81           18.45
              35           10.97           21.62
              36          -17.21           27.09
              37          -50.54           10.75
              38          -23.57           19.94
              39           33.52           20.01
              40          -22.26           19.96
              41          -27.98           9.326
              42           1.188            20.8
              43           55.26           21.18
              44           -33.9            17.2
              45          -7.436           11.93
              46           9.332           18.33
              47           91.77           23.15
              48          -6.626           33.36
              49          -34.33           15.47
              50          -20.64           30.92
              51            5.29           14.63
              52          -23.06           28.69
              53          -41.94           11.92
              54          -9.814           13.97
              55           35.25           17.41
              56          -19.19            21.6
              57             -31           11.25
              58          -3.199           13.79
              59           39.07           19.86
              60          -18.55           16.64
              61          -10.98           19.46
              62           14.06           14.41
              63           94.16           25.28
              64          -29.66           36.43
              65          -40.83           17.46
              66          -22.82           27.06
              67           25.95           24.99
              68          -159.4           101.4
              69          -20.28           13.51
              70         0.00335            22.1
              71           38.76           21.25
              72          -35.36           35.66
              73             -34           12.29
              74           27.69              20
              75           33.14           20.76
              76          -22.41           21.17
              77          -21.47           11.24
              78           11.91           18.29
              79           88.91           21.88
              80          -46.87           34.59
              81          -36.83           16.87
              82           -29.7           24.79
              83           24.71           12.82
              84          -6.581           31.36
              85           -38.9           13.35
              86          -5.675           11.68
              87           40.17           15.88
              88          -6.224           23.16
              89          -40.26           13.61
              90           13.19           10.92
              91           76.83           19.11
              92          -35.65           18.86
              93          -28.43           24.06
              94           20.42           12.45
              95           92.15           21.77
              96          -53.79           31.89
              97          -24.49           14.14
              98          -25.71           23.29
              99           20.54           21.93
             100          -21.58           26.67
             101          -34.71           10.81
             102          -15.53           18.93
             103           39.78           19.93
             104          -24.89           20.21
             105          -30.32           12.33
             106           25.71           19.08
             107           64.56           21.66
             108          -13.87           17.66
             109          -7.355           11.09
             110           23.47           21.78
             111           100.1           23.26
             112          -22.31           34.66
             113          -35.97           14.68
             114          -29.26           20.05
             115           22.06           14.31
             116          -23.81           27.61
             117          -40.39           12.29
             118           2.923           11.61
             119           45.36           17.21
             120          -7.121           20.52
             121          -19.45           13.25
             122           25.48           12.35
             123           46.04           20.27
             124          -13.44           17.09
             125          -28.02           31.46
             126           19.14           13.81
             127           87.52           26.46
APV                2              13               0               2
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           19.32            19.8
               8          -33.37           18.15
               9          -39.71           9.535
              10           5.224           17.97
              11           51.16           21.78
              12          -36.06           14.67
              13          -4.233           9.564
              14            7.06            16.8
              15           52.58           21.61
              16           24.52           24.04
              17          -39.56           13.07
              18          -16.15           32.25
              19          -7.561           11.13
              20          -44.04           20.32
              21          -37.82           12.35
              22           12.94           13.59
              23           42.55           14.15
              24          -37.53           16.96
              25          -25.21           10.89
              26           17.09           10.45
              27           26.84           17.94
              28          -43.18           14.28
              29          -14.77           13.59
              30           22.36           10.83
              31           58.64           20.15
              32           34.63           23.89
              33          -32.14           13.48
              34          0.8275            13.6
              35           5.275           20.35
              36          -44.41           19.28
              37          -27.17           11.33
              38          -17.63            15.3
              39           17.38           19.68
              40          -30.18            15.9
              41          -25.43           9.127
              42           25.12           17.97
              43           42.47            21.8
              44          -41.35           15.56
              45           4.228           9.513
              46           14.41           15.98
              47           71.88           21.65
              48           5.529           23.05
              49          -48.34           12.23
              50           4.057           22.86
              51           9.486           12.58
              52          -43.11              19
              53          -23.89           10.75
              54           5.409           11.19
              55           19.35           15.17
              56          -28.96           15.13
              57          -36.79           11.44
              58           3.966           10.33
              59           13.59           18.62
              60          -23.39           12.35
              61           11.09           15.89
              62           7.179           11.28
              63           70.61           19.75
              64           9.928           24.59
              65          -21.79           15.03
              66          -6.873           20.38
              67           14.82           19.21
              68          -34.96           21.34
              69          -28.82           12.36
              70          -23.96           15.93
              71           24.02           18.56
              72          -40.26           18.19
              73          -4.399           10.18
              74           18.97           15.71
              75           20.33            19.7
              76          -34.33           16.87
              77           -22.2           8.961
              78           5.117           15.78
              79             103           21.45
              80           18.49           25.41
              81          -34.41           13.99
              82           11.49           18.88
              83          -2.005           11.15
              84          -29.54           21.85
              85          -17.73           12.64
              86           13.38           10.14
              87            39.2           14.51
              88          -38.48            17.7
              89          -18.27           12.87
              90           2.157           9.572
              91           82.62           18.01
              92          -48.64           14.47
              93          -34.18           19.48
              94           16.89           10.42
              95           91.36           20.12
              96           16.63           23.58
              97          -39.02           13.86
              98          -1.759           17.04
              99           9.831           20.04
             100          -29.73           20.26
             101          -28.19           11.87
             102            1.01           14.84
             103           30.16           19.12
             104          -23.78            17.3
             105          -12.55           9.272
             106           5.566           16.07
             107            47.9           20.22
             108          -25.85           14.95
             109          -29.41           8.737
             110           26.43           18.79
             111           103.1            22.3
             112          -3.916           23.47
             113          -23.17           12.61
             114          -16.25           15.41
             115           20.11           11.79
             116          -29.44           20.22
             117          -36.52            11.6
             118           4.787           10.01
             119           16.42           15.73
             120           -44.6           15.34
             121          -14.12           12.39
             122          -10.11           9.822
             123           49.55           18.39
             124          -24.77           13.41
             125          -11.63           24.12
             126           8.727           11.15
             127           128.3           20.98
APV                2              13               0               4
               0               0               0
               1               0               0
               2               0               0
               3               0               0
               4               0               0
               5               0               0
               6               0               0
               7           33.89           10.23
               8          -40.69           12.35
               9          -5.827           7.624
              10           7.983           10.74
              11           48.31           10.43
              12           -55.6           10.19
              13          -2.752           7.296
              14           42.88           10.03
              15           40.57            11.6
              16          -69.31           15.42
              17          -43.38           8.584
              18           6.781           27.57
              19           20.18           9.839
              20          -40.01           13.71
              21          -28.95           7.729
              22           6.906           11.73
              23              34           9.689
              24           -60.7           11.65
              25          -22.94           7.563
              26           29.95           9.098
              27           40.68           10.74
              28          -41.62           9.605
              29          -7.395           10.85
              30           27.97           9.045
              31           57.04           12.21
              32           -54.5           15.78
              33          -33.11           8.402
              34           27.94           9.799
              35            42.1           10.46
              36           -58.6           13.31
              37          -19.01           7.382
