#Thu Aug 29 15:26:49 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               4              10
               9          -3.652           6.922
              10           18.21           8.367
              11           38.34           9.389
              12           -57.7           8.382
              13          -9.516           6.341
              14           51.54           8.275
              15            74.5           8.055
              16          -48.95           8.801
              17          -12.95           6.607
              18           4.027           12.22
              19           11.49           7.055
              20          -51.56           7.611
              21          -12.85           6.588
              22         -0.2939           8.237
              23            31.9           6.338
              24          -50.92           15.61
              25          -25.21           7.083
              26           20.02           7.306
              27           46.44           6.954
              28          -33.14           6.497
              29           2.356           7.261
              30            41.9           6.949
              31           57.02           7.321
              32          -61.84             8.2
              33          -51.18            7.46
              34           5.241           8.997
              35           33.94            8.01
              36          -47.52            7.79
              37          -22.82           6.588
              38           21.39           8.765
              39           52.82           7.781
              40          -49.71            7.59
              41          -15.79           7.508
              42           27.85           9.026
              43           50.95           8.207
              44          -35.34           7.536
              45           3.364           7.315
              46           22.75           7.743
              47           60.77           8.322
              48          -46.17           8.482
              49          -28.03           6.488
              50           16.08           9.773
              51           31.67           6.738
              52          -57.55           7.218
              53          -14.91           6.532
              54           14.84           7.895
              55           35.11           6.647
              56          -40.77           6.941
              57          -15.83           6.979
              58           19.91           7.136
              59           57.91           7.139
              60          -36.38           6.439
              61           15.81           8.208
              62           41.36           6.632
              63           73.29           7.978
              64          -60.23           8.006
              65          -22.85           9.166
              66           2.341           13.61
              67           32.64           7.439
              68          -58.06           8.131
              69          -15.58           6.799
              70           10.03           8.865
              71           21.05           8.153
              72          -45.02           7.847
              73          -13.76           7.947
              74           29.83            8.88
              75           48.15           8.804
              76          -31.88           7.649
              77           -14.1           6.634
              78           39.73           7.758
              79           54.83           8.684
              80          -57.63           7.885
              81          -27.92           6.543
              82          0.3258           9.501
              83           24.52           6.843
              84          -78.25           7.562
              85          -23.12           6.644
              86           9.019            7.73
              87           46.26           6.692
              88          -41.23           6.861
              89          -11.35           7.246
              90           26.74           6.944
              91           42.99            7.25
              92          -21.94           7.565
              93          -1.126           8.994
              94           34.31           6.777
              95           65.84           9.256
              96          -64.24           7.527
              97          -21.31           6.847
              98           25.02           10.77
              99           20.14           8.688
             100          -47.65           7.991
             101          -14.93           6.833
             102           7.882           8.854
             103           50.66           7.857
             104          -52.03           8.144
             105          -24.61           7.563
             106            33.9           8.822
             107           53.46           8.776
             108          -33.44           7.065
             109          -6.743           8.036
             110           28.89           8.425
             111           103.8           15.04
             112          -32.85           7.697
             113          -23.65           6.578
             114           4.035           9.022
             115           45.25           7.058
             116           -54.4            6.98
             117          -29.91           6.408
             118           5.097           7.152
             119           33.04           6.675
             120          -52.55           6.745
             121          -10.06           7.651
             122           32.82           7.413
             123            77.4           8.615
             124          -27.13           6.597
             125           11.99           17.13
             126           23.94           7.356
             127           121.8            14.6
APV                2              13               4              13
               0           201.7           41.15
               1           -10.5           33.55
               2           -14.2           31.21
               3          -25.07           29.46
               4          -206.4            13.7
               5          -81.65           9.107
               6          -33.77           10.23
               7           24.94           8.303
               8          -59.32           8.457
               9          -8.607           7.077
              10           7.394           7.902
              11           50.67           9.516
              12          -45.23           8.041
              13           -14.8           6.591
              14         -0.1294           7.315
              15           68.81           8.363
              16          -35.02           10.35
              17          -40.51           6.757
              18          -12.44            14.9
              19           22.82           8.916
              20          -61.38           8.389
              21          -45.29           6.814
              22          -11.46            9.74
              23           50.44           7.625
              24          -28.41           7.893
              25          -27.47           6.705
              26          -7.833           8.334
              27           50.65           7.881
              28           -39.8           7.671
              29          -39.69           8.123
              30          0.7775           8.433
              31           105.2           7.967
              32          -30.21           9.752
              33          -24.58           7.342
              34          -3.783           8.286
              35           39.01           7.777
              36          -60.18           9.044
              37           -17.6           6.918
              38          0.5487           7.879
              39           41.96           7.949
              40          -47.14           8.493
              41          -35.65            7.42
              42           12.15           8.268
              43           61.33           8.247
              44          -25.57            7.41
              45          -25.54           7.868
              46           12.73           7.287
              47           83.15           8.502
              48          -51.79           9.269
              49          -36.55           6.802
              50           14.21           12.56
              51           42.49           8.447
              52          -48.14           8.203
              53          -32.41           6.621
              54          -4.158           9.385
              55           70.65           7.937
              56          -34.75           7.613
              57          -31.66           7.014
              58           7.571           8.741
              59           59.34           8.114
              60           -42.5           7.033
              61          -24.45           8.971
              62           12.99           8.174
              63           95.57           8.231
              64          -23.95           9.239
              65          -14.68           10.05
              66           11.91           10.92
              67           29.49           8.562
              68          -50.63            9.37
              69          -31.41           6.945
              70           -8.38           8.682
              71           43.31           8.059
              72          -39.89           8.607
              73          -24.01            7.74
              74           22.13           7.833
              75           61.35           8.582
              76          -25.03           6.985
              77          -13.92           6.692
              78           24.65           7.332
              79           86.07           8.723
              80          -37.18           8.902
              81          -19.48           7.043
              82          -2.084           11.09
              83           34.29           8.255
              84          -49.85           8.275
              85          -33.82           6.587
              86          -1.411           8.911
              87           64.53           7.696
              88          -40.71           7.552
              89          -29.75           7.467
              90           11.97           8.198
              91           85.26           8.015
              92          -16.06            7.48
              93           -15.8           10.16
              94           27.17           8.121
              95           122.6           8.844
              96           -42.5           8.931
              97          -21.25               7
              98           20.15             9.6
              99           64.33           8.555
             100          -66.33           8.735
             101           -34.6           6.572
             102          -8.103           8.338
             103           61.54           8.123
             104          -30.28           8.315
             105          -16.45           7.676
             106           12.49           7.767
             107           82.17           8.462
             108          -41.78            6.58
             109           -13.7           7.911
             110           8.556           7.714
             111            97.8           9.921
             112          -58.38            8.63
             113          -19.94           6.919
             114          -2.557            10.3
             115           46.12           8.484
             116          -48.02           7.793
             117          -34.16           6.509
             118          -5.387            8.58
             119           41.28           7.739
             120          -46.72             7.4
             121          -26.94           7.667
             122           14.18           8.143
             123           71.19           8.358
             124          -27.85           6.428
             125          -10.81           11.92
             126            39.8           8.705
             127           138.3           12.66
APV                2              13               4              14
               0           246.2           39.74
               1          -27.38           32.15
               2          -18.54           29.01
               3           19.25           27.49
               4          -203.2           14.88
               5          -86.98           9.555
               6          -43.67           10.75
               7            29.3           9.278
               8          -77.67           8.108
               9          -57.58           7.502
              10           12.76           8.163
              11           78.84           10.63
              12          -45.93           7.671
              13          -38.37           7.124
              14           14.59           7.924
              15            93.8           11.19
              16          -31.55            12.1
              17          -55.03           7.923
              18          -20.55           16.16
              19           36.36           9.145
              20           -64.2           9.585
              21          -48.46           6.854
              22           8.067           9.979
              23           73.91           8.842
              24          -44.09           8.502
              25          -39.57           6.956
              26           1.403           8.344
              27           74.94            7.92
              28          -36.92           7.365
              29          -34.38           8.352
              30           26.55           8.368
              31           89.13           9.923
              32          -59.64           11.46
              33          -50.44             8.5
              34          -23.08           8.244
              35           40.23           8.885
              36          -62.52           10.39
              37          -53.44           7.754
              38           13.92           8.593
              39            60.5           8.748
              40          -71.64           8.036
              41          -30.74            9.88
              42           4.982           8.731
              43            86.4           8.663
              44          -47.17           7.748
              45          -19.12            9.04
              46           41.08           7.959
              47           105.5           11.59
              48           -40.8           11.83
              49          -38.66            7.03
              50          -30.88           12.89
              51            41.1           8.234
              52          -79.84           9.672
              53           -36.5           6.633
              54          -3.634           9.405
              55           74.53           8.359
              56          -42.44            9.26
              57          -44.06           7.217
              58           9.745           8.774
              59           78.41           7.934
              60           -38.6           6.692
              61          -29.72           9.513
              62           41.97           8.138
              63           123.9           11.73
              64          -44.47           10.67
              65          -44.18           13.92
              66          -10.77           10.85
              67            63.5           9.989
              68          -60.49           10.25
              69          -42.13           8.754
              70           9.341           9.865
              71           61.93           8.496
              72          -45.05           9.735
              73          -26.16           8.399
              74            23.7           8.634
              75            75.5           9.214
              76          -60.54           7.894
              77          -13.64           7.859
              78           49.89           8.885
              79           125.5           12.48
              80          -41.02            10.9
              81          -26.98           8.738
              82          -10.09           11.39
              83           37.87           8.762
              84          -66.74           9.972
              85          -21.28           7.537
              86         -0.2479           8.996
              87              59           8.586
              88          -51.44            9.07
              89          -18.55           7.382
              90           11.61           8.488
              91           97.24           8.176
              92          -36.84           8.293
              93          -48.22           10.91
              94           38.72           8.335
              95           107.3           13.36
              96          -56.83           10.82
              97          -49.16           7.101
              98           3.271           10.06
              99           40.52           10.72
             100          -64.95           9.456
             101          -34.22           8.798
             102           3.946           8.328
             103           70.29           8.623
             104          -49.63            7.53
             105          -31.56             8.1
             106            13.3           8.496
             107           108.2           10.11
             108          -37.33            8.35
             109          -30.32           9.441
             110           41.62           8.433
             111           114.4            20.2
             112          -34.52           12.11
             113             -39           6.531
             114          -5.343           10.79
             115           59.74           8.146
             116          -58.19           9.271
             117           -43.9            6.63
             118           18.18           8.665
             119           76.91           8.155
             120          -51.15           7.654
             121          -32.87           7.525
             122           28.76           8.664
             123           83.08           9.201
             124          -37.87           9.372
             125          -37.69           12.78
             126           52.76           8.736
             127           137.4           22.32
APV                2              13               5              10
               0           176.8           35.53
