#Fri Aug  9 17:34:10 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               4              10
               0           152.6           41.04
               1        -0.04853           34.88
               2          -3.741           32.75
               3           -18.5           30.88
               4          -196.4           13.74
               5          -64.37           8.808
               6           -13.8           10.45
               7          -6.016            7.95
               8           -58.6           7.878
               9          -50.57           6.845
              10           13.35           7.925
              11           11.33           8.115
              12           -52.5           9.584
              13          -32.48           6.538
              14            31.6           7.774
              15           38.19           7.921
              16          -43.53           9.369
              17          -26.12           6.666
              18         -0.1249           13.75
              19           22.66           7.579
              20          -49.76           7.779
              21          -21.41           6.458
              22           6.716           8.747
              23           41.15           6.751
              24          -42.85           8.144
              25          -23.77           13.97
              26            29.1           7.803
              27           43.26           7.098
              28          -18.25           6.917
              29          -31.09           7.809
              30           19.52           7.142
              31           28.45           7.642
              32          -63.24           8.841
              33          -61.02           7.261
              34           12.37           8.407
              35           8.975           7.471
              36          -52.52           8.499
              37          -37.04           6.659
              38           44.56           8.237
              39           27.44            7.54
              40          -26.82            8.11
              41          -9.458           6.808
              42           52.83           8.286
              43           27.74           7.944
              44          -44.93           7.849
              45          -10.68           7.838
              46           29.82           7.199
              47           67.55           8.478
              48          -50.45           9.967
              49          -2.347           6.536
              50           16.09            11.3
              51           10.78           7.174
              52          -23.51            7.58
              53           -21.1           6.355
              54           19.41           8.251
              55           24.22           6.957
              56          -43.08           7.275
              57           -13.2           6.783
              58           18.91           7.697
              59           33.76            7.22
              60          -10.31            6.62
              61           2.954           8.365
              62           33.47           7.188
              63           79.47           8.213
              64          -62.32           8.175
              65          -8.227           9.419
              66           34.18           10.55
              67            24.1           7.063
              68          -35.19             8.6
              69             -22           6.959
              70           23.25           8.995
              71           23.23           7.402
              72          -26.11           8.114
              73          -5.879           9.035
              74           24.56           7.868
              75           56.34           7.901
              76          -25.94           9.812
              77          -4.542           7.893
              78           9.246           7.125
              79           63.02           8.826
              80          -37.61            8.09
              81          -41.45           12.98
              82           25.52           10.96
              83           33.68           8.097
              84          -23.01           7.245
              85          -28.46           6.651
              86           6.126           15.17
              87            16.8           6.897
              88          -36.94           7.673
              89          -39.35           7.195
              90           5.217           7.121
              91           64.01           7.579
              92          -28.15           7.842
              93           -34.2            10.4
              94           24.16           7.007
              95           56.56           8.975
              96          -42.93           8.572
              97          -8.021             7.1
              98            3.69           9.406
              99           36.69           9.105
             100           -52.6           8.859
             101          -26.09           6.742
             102           17.73           8.589
             103           40.53           7.554
             104          -44.84           7.558
             105          -24.31           7.738
             106            37.1           8.013
             107           62.83           7.987
             108          -4.208           7.882
             109          -4.581           7.612
             110           47.97           7.252
             111           72.37            10.5
             112           -61.1           7.622
             113          -10.92           6.332
             114           29.95           9.205
             115           36.61           7.004
             116          -46.18           7.289
             117          -4.656            6.42
             118           6.956           7.348
             119           30.15           7.053
             120           -29.1            6.85
             121          -15.34           7.228
             122           26.59           16.51
             123           32.06           7.426
             124          -0.956           9.558
             125           16.27           16.88
             126           16.16           8.062
             127           107.5           12.23
APV                2              13               4              11
               0           125.8           40.39
               1          -9.959           34.04
               2         -0.4028           33.57
               3          -25.15           30.57
               4          -206.2           12.16
               5          -38.01           13.89
               6          -38.15           9.205
               7           1.736           8.093
               8          -57.69           7.233
               9           4.364           6.632
              10           3.101           7.897
              11           36.79           7.971
              12          -52.92            8.61
              13          -20.23           6.262
              14           16.69           7.371
              15           60.53            7.97
              16          -54.72           8.459
              17           -19.4           6.428
              18          -13.38           15.77
              19           15.78           6.962
              20          -70.27           7.297
              21          -3.934           6.377
              22          -3.932            8.17
              23           40.07           6.394
              24          -60.86           6.925
              25          -19.98           6.606
              26           3.346           6.863
              27           62.19           6.788
              28          -46.32           6.319
              29          -14.32           7.765
              30           12.09            6.87
              31           79.06           7.212
              32          -77.17           7.955
              33          -33.92           7.484
              34          -3.487           8.245
              35           13.28           7.445
              36          -81.71           7.416
              37          -22.36           6.466
              38           20.61           7.934
              39           50.94           7.496
              40          -60.52           7.071
              41           5.898            7.33
              42           17.07           8.022
              43           47.33           7.713
              44          -64.27           7.312
              45            21.9           7.804
              46           35.13           7.152
              47            85.2           8.168
              48          -63.69           8.293
              49          -14.32           6.314
              50           5.063           10.46
              51           34.55            6.65
              52          -61.52           6.873
              53          -24.59            6.35
              54           11.73           7.737
              55           49.74           6.639
              56          -66.03           6.581
              57            9.77            6.84
              58           8.869           7.025
              59           71.45           6.933
              60          -36.84           6.271
              61          -2.624           8.268
              62           26.95           6.545
              63           96.31           7.701
              64          -52.33           7.712
              65           -26.9           7.847
              66           25.81            10.1
              67            29.4           8.653
              68           -53.8           7.885
              69            2.57           6.787
              70           5.394           8.316
              71           46.91            7.38
              72          -59.31           8.065
              73           12.65           7.829
              74           20.14           8.147
              75           70.35           8.526
              76          -21.86           7.035
              77          -4.186           6.859
              78          -2.935           7.058
